Kode,Nama,Tanggal Pencatatan
IMPC,PT Impack Pratama Industri Tbk,17 Des 2014
INAF,Indofarma Tbk.,17 Apr 2001
INAI,Indal Aluminium Industry Tbk,05 Des 1994
INCI,Intanwijaya Internasional Tbk,24 Jul 1990
INCO,Vale Indonesia Tbk,16 Mei 1990
INDF,Indofood Sukses Makmur Tbk,14 Jul 1994
INDO,PT Royalindo Investa Wijaya Tbk,13 Jan 2020
INDR,Indorama Synthetics Tbk,03 Ags 1990
INDS,Indospring Tbk,10 Ags 1990
INDX,Tanah Laut Tbk,17 Mei 2001
INDY,Indika Energy Tbk,11 Jun 2008
INKP,Indah Kiat Pulp & Paper Tbk,16 Jul 1990
INOV,PT Inocycle Technology Group Tbk.,10 Jul 2019
INPC,Bank Artha Graha Internasional Tbk,23 Ags 1990
INPP,Indonesian Paradise Property Tbk,01 Des 2004
INPS,PT Indah Prakasa Sentosa Tbk.,06 Apr 2018
INRU,Toba Pulp Lestari Tbk,18 Jun 1990
INSA,PT Intinusa Selareksa Tbk,01 Jan 1911
INTA,Intraco Penta Tbk,23 Ags 1993
INTD,Inter-Delta Tbk,18 Des 1989
INTP,Indocement Tunggal Prakarsa Tbk,05 Des 1989
IPCC,PT Indonesia Kendaraan Terminal Tbk.,09 Jul 2018
IPCM,PT Jasa Armada Indonesia Tbk.,22 Des 2017
IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010
IPTV,PT MNC Vision Networks Tbk.,08 Jul 2019
IRRA,PT Itama Ranoraya Tbk.,15 Okt 2019
ISAT,PT Indosat Tbk,19 Okt 1994
ISSP,PT Steel Pipe Industry of Indonesia Tbk,22 Feb 2013
ITIC,PT Indonesian Tobacco Tbk.,04 Jul 2019
ITMA,SUMBER ENERGI ANDALAN Tbk,10 Des 1990
ITMG,Indo Tambangraya Megah Tbk,18 Des 2007
JAST,PT Jasnita Telekomindo Tbk.,16 Mei 2019
JAWA,Jaya Agra Wattie Tbk,30 Mei 2011
JAYA,PT Armada Berjaya Trans Tbk.,21 Feb 2019
JECC,Jembo Cable Company Tbk,18 Nov 1992
JGLE,PT Graha Andrasentra Propertindo Tbk.,29 Jun 2016
JIHD,Jakarta International Hotels & Development Tbk,29 Feb 1984
JKON,Jaya Konstruksi Manggala Pratama Tbk,04 Des 2007
JKSW,Jakarta Kyoei Steel Works Tbk,06 Ags 1997
JMAS,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,18 Des 2017
JPFA,JAPFA Comfeed Indonesia Tbk,23 Okt 1989
JRPT,Jaya Real Property Tbk,29 Jun 1994
JSKY,PT Sky Energy Indonesia Tbk.,28 Mar 2018
JSMR,PT Jasa Marga Tbk,12 Nov 2007
JSPT,Jakarta Setiabudi Internasional Tbk,12 Jan 1998
JTPE,Jasuindo Tiga Perkasa Tbk,16 Apr 2002
KAEF,Kimia Farma Tbk.,04 Jul 2001
KARW,ICTSI JASA PRIMA Tbk,20 Des 1994
KAYU,PT Darmi Bersaudara Tbk.,04 Jul 2019
KBAG,PT Karya Bersama Anugerah Tbk,08 Apr 2020
KBLI,KMI Wire and Cable Tbk,06 Jul 1992
